# gene_name         0h    12h    24h    48h    96h 
USP40             30.8   38.3   49.9   61.5   49.4 
UGT1A8             5.5    4.0    2.8    0.9    0.1 
UGT1A10          136.5  175.6  164.5  157.0   72.4 
UGT1A9            61.5   72.0   77.5   63.7   29.2 
UGT1A7            20.8   17.2   12.6    4.2    0.4 
UGT1A6           134.9  141.9  122.7   85.2   20.9 
UGT1A5            53.2   33.8   19.9    5.5    0.3 
UGT1A4             5.5    6.2    5.5    4.4    1.4 
UGT1A3            10.7    4.9    1.8    0.2    0.0 
UGT1A1             9.1    8.3    6.7    3.1    0.5 
MROH2A            29.9   28.5   22.0   11.7    1.8 
HJURP             31.7   39.6   51.5   61.5   60.6 
TRPM8             44.6   59.9   81.2   79.7   62.3 
SPP2               1.0    0.7    0.3    0.1    0.0 
ARL4C              6.6    2.2    0.7    0.1    0.0 
SH3BP4            55.7   66.2   66.5   48.9   19.4 
AGAP1             21.6   20.8   21.4   15.1    4.9 
GBX2               8.5    3.6    1.3    0.2    0.0 
ASB18              6.0    2.7    1.4    0.2    0.0 
IQCA1             35.2   36.6   31.9   19.6    5.1 
ACKR3             16.9   14.7   12.1    6.6    1.1 
COPS8            478.5  553.0  608.5  502.8  197.1 
COL6A3            30.9   34.4   30.2   18.6    5.0 
MLPH              20.9   13.2    8.2    2.4    0.1 
PRLH              88.4   84.7   87.2   60.3   17.9 
RAB17             54.1   43.7   28.0   10.5    1.0 
LRRFIP1           38.4   35.1   31.3   23.0    6.0 
RBM44             45.5   43.4   36.3   24.1    5.6 
RAMP1            100.7   76.7   43.6   11.4    0.6 
UBE2F             39.6   36.0   27.5   15.0    2.7 
UBE2F-SCLY        12.9    9.8    6.4    1.9    0.2 
SCLY              19.4   20.6   24.2   21.1   12.2 
ESPNL              7.7    8.6    7.1    3.9    1.0 
KLHL30            25.6   22.5   17.3    7.1    0.7 
ERFE               5.5    1.9    0.7    0.1    0.0 
ILKAP            161.1  167.4  159.2  102.8   24.9 
HES6              13.0    4.7    1.5    0.1    0.0 
PER2               6.0    4.0    3.0    0.8    0.0 
TRAF3IP1          87.5  138.3  177.5  243.1  311.4 
ASB1              21.3   16.0   11.7    4.1    0.3 
TWIST2            29.7   40.2   42.9   35.9   21.3 
HDAC4              7.8    4.4    2.8    0.7    0.0 
AC017028.1         6.8    8.2    8.2    7.4    3.5 
NDUFA10           59.2   77.7   78.9   65.4   29.6 
OR6B2             37.4   52.9   92.7  125.0  161.4 
PRR21             23.0   21.9   14.7    6.7    0.9 
OR6B3             30.1   21.9   12.4    4.9    0.3 
COPS9             65.5   64.4   61.5   41.8   13.1 
OTOS              12.7    8.1    5.7    2.1    0.1 
GPC1              93.4  100.7   88.8   57.6   13.5 
ANKMY1           247.7  243.5  253.7  173.1   63.3 
DUSP28            25.6    5.9    1.3    0.0    0.0 
RNPEPL1            2.9    0.1    0.0    0.0    0.0 
CAPN10            62.5   74.9   80.3   71.1   34.4 
GPR35             27.0   18.3   11.8    3.7    0.2 
AQP12B            30.7   28.5   21.8   12.8    2.1 
AQP12A            46.5   34.1   23.1    7.5    0.6 
KIF1A             23.6   21.2   19.0   10.3    2.3 
AGXT              23.5   18.7   10.7    3.7    0.2 
C2orf54           30.9   32.7   31.6   24.2    7.6 
CROCC2            46.6   49.8   46.8   33.5   10.6 
SNED1             10.6   10.5    9.1    4.9    1.0 
MTERF4            23.0   18.3   12.5    4.7    0.4 
PASK              11.9    8.8    6.4    2.3    0.2 
PPP1R7            12.5   18.7   19.8   24.7   20.3 
ANO7               6.7    6.2    4.8    2.2    0.4 
HDLBP             62.3   36.0   20.7    4.1    0.1 
2-Sep             32.9   22.5   15.1    5.3    0.4 
FARP2             69.3  127.8  171.6  296.1  496.2 
STK25             11.5   16.6   19.7   15.5    9.6 
BOK               21.2   17.7   12.7    6.1    0.6 
THAP4            205.0  250.2  314.7  311.0  200.5 
ATG4B             61.2   60.5   49.9   29.0    4.7 
DTYMK             58.4   25.1   12.2    1.8    0.0 
ING5              25.2   13.6    6.7    1.2    0.0 
D2HGDH           103.0  115.0  114.4   94.9   34.0 
GAL3ST2            6.5    2.7    1.0    0.1    0.0 
NEU4             251.6  311.3  317.1  357.5  188.7 
PDCD1             26.0   28.3   30.8   27.5   12.1 
RTP5              15.1   13.7   10.6    4.4    0.7 
AC131097.4         7.2    5.6    3.8    1.6    0.1 
CHL1             121.6  169.6  251.1  340.3  372.6 
CNTN6              7.0    8.7    8.3    8.3    3.5 
CNTN4            153.7  189.6  172.3  135.8   59.8 
IL5RA             16.7   18.4   19.4   17.4    8.0 
TRNT1             53.7   11.1    2.1    0.1    0.0 
AC024060.1        67.3   60.7   59.4   35.1    9.1 
CRBN               9.1    7.2    5.9    3.0    0.4 
SUMF1              4.9    5.0    4.1    2.3    0.4 
LRRN1             17.0   10.9    5.4    1.1    0.0 
SETMAR            55.0   81.2  119.8  155.8  194.6 
ITPR1              8.4    8.3    5.9    3.7    0.6 
BHLHE40           31.6   19.5   11.2    3.2    0.1 
ARL8B             56.0   12.1    2.2    0.1    0.0 
EDEM1             17.3   19.1   17.1    7.7    1.5 
GRM7               7.6    4.4    2.4    0.5    0.0 
LMCD1            171.4  212.8  237.6  244.7  129.4 
SSUH2             30.9   25.6   24.1   12.7    2.8 
CAV3              42.8   61.1   84.8  148.0  196.0 
OXTR               5.1    3.3    1.8    0.5    0.0 
RAD18              9.6   10.9   10.8    9.1    3.4 
SRGAP3            17.4   13.0    7.7    2.4    0.2 
THUMPD3           18.0    6.2    1.9    0.1    0.0 
SETD5             43.3   29.7   17.7    5.8    0.4 
LHFPL4            37.1   14.9    4.6    0.5    0.0 
MTMR14           187.5  243.7  273.2  241.1  135.9 
CPNE9             80.1   79.2   83.3   57.7   19.5 
BRPF1              9.8    4.6    1.9    0.3    0.0 
OGG1              12.2    4.0    1.1    0.1    0.0 
CAMK1             52.5   15.0    4.3    0.2    0.0 
TADA3             61.0   39.4   20.6    5.7    0.2 
ARPC4             24.8   24.8   19.2    8.6    1.3 
ARPC4-TTLL3        9.1    7.2    5.2    2.4    0.3 
TTLL3             12.9   14.3   12.7    8.7    2.5 
RPUSD3            13.4   18.7   24.4   30.0   24.7 
CIDEC             45.3   35.5   24.0    7.8    0.7 
JAGN1            232.2  247.1  223.0  156.1   43.0 
IL17RE            13.6    6.2    2.5    0.3    0.0 
IL17RC             5.0    2.8    1.4    0.3    0.0 
CRELD1            13.3    9.6    6.5    2.0    0.1 
PRRT3              8.7    5.1    2.5    0.5    0.0 
EMC3              11.1    6.7    3.7    0.9    0.0 
FANCD2             5.1    2.4    1.1    0.1    0.0 
FANCD2OS          48.5   47.3   44.3   30.4    8.9 
BRK1               8.9    9.3   10.5    9.8    4.4 
VHL               13.0   13.3   11.1    5.9    1.2 
IRAK2             35.1   34.7   31.0   18.2    3.7 
TATDN2           475.7  566.7  711.9  752.6  619.9 
RP11-438J1.1      69.3   55.9   46.6   20.0    2.6 
GHRL              21.4   11.9    6.1    1.2    0.0 
SEC13            526.0  427.1  320.8  166.7   21.1 
ATP2B2            31.9   37.9   38.5   35.9   20.0 
SLC6A11            2.5    0.5    0.1    0.0    0.0 
SLC6A1           330.9  160.9   60.6    8.4    0.1 
HRH1              25.4   14.0    5.2    0.9    0.0 
ATG7              44.6   31.4   19.6    6.4    0.4 
VGLL4             10.0   13.9   14.7   15.4    9.1 
TAMM41            49.3   44.1   47.1   34.5   10.6 
SYN2              34.1   17.4    7.0    1.4    0.0 
TIMP4             10.4    4.0    1.4    0.1    0.0 
PPARG             18.5    8.7    3.9    0.5    0.0 
TSEN2             58.8   58.4   45.2   23.0    3.3 
MKRN2OS           43.0   43.7   46.1   37.0   14.9 
MKRN2             39.8   30.8   26.2   11.4    1.3 
RAF1              60.9   46.0   31.0   10.4    0.9 
TMEM40            16.6   27.8   38.6   63.5  104.4 
CAND2             32.2   17.1    8.4    1.3    0.0 
RPL32            105.7  184.0  217.5  347.8  473.2 
IQSEC1           132.0  134.3  113.6   63.0   14.8 
NUP210            22.5   22.6   18.9   12.6    3.0 
HDAC11            60.8   30.4   13.6    2.0    0.0 
FBLN2             38.1   39.4   35.6   23.9    6.8 
WNT7A            177.8  185.0  176.1  157.8   59.7 
CHCHD4             7.1    8.7   10.0    7.1    4.1 
TMEM43           118.0   66.4   29.3    5.4    0.1 
RP11-434D12.1     64.1   38.7   22.4    5.0    0.2 
XPC               43.8   40.8   30.9   15.1    2.2 
LSM3              18.0   12.4    7.2    1.9    0.1 
SLC6A6            13.7   13.9   12.6    6.7    1.4 
GRIP2             64.3   81.9   75.6   68.0   37.6 
CCDC174           13.1    1.8    0.2    0.0    0.0 
C3orf20           41.2   12.5    3.4    0.2    0.0 
FGD5              55.8   65.2   69.6   56.6   31.4 
NR2C2             14.8    2.0    0.2    0.0    0.0 
MRPS25           128.3   90.3   56.8   15.4    0.9 
RBSN               6.9   10.6   13.3   15.4   14.3 
CAPN7             50.9   49.1   43.2   24.1    6.0 
SH3BP5           158.4  143.2  128.3   65.7   13.9 
METTL6             7.9    5.7    3.2    0.9    0.0 
EAF1              40.8   44.4   39.1   24.0    7.7 
COLQ               4.5    0.7    0.1    0.0    0.0 
HACL1             23.1    7.3    2.0    0.2    0.0 
BTD               47.3   28.9   18.4    4.1    0.2 
ANKRD28           24.1   19.8   15.8    7.2    1.0 
GALNT15           21.3   14.1    8.7    2.3    0.1 
DPH3              35.0   24.2   14.2    3.4    0.2 
OXNAD1           139.7  134.0  109.6   76.8   16.2 
RFTN1             53.0   66.1   71.6   84.9   68.7 
DAZL              15.9   10.4    6.7    1.9    0.1 
PLCL2             27.0    6.3    1.2    0.0    0.0 
TBC1D5            54.4   14.7    3.6    0.2    0.0 
SATB1              3.5    2.8    2.1    1.1    0.1 
KCNH8             19.2   20.0   18.5   11.3    2.3 
EFHB              41.5   44.7   50.0   39.0   16.5 
RAB5A             67.6   67.4   56.4   28.8    5.7 
PP2D1             35.2   10.1    2.8    0.2    0.0 
KAT2B             63.6   45.4   30.7    8.7    0.6 
SGO1              36.1   44.5   39.6   30.8   10.2 
ZNF385D           23.6   14.9    8.9    2.7    0.1 
UBE2E2            15.7    8.0    3.7    0.7    0.0 
UBE2E1             5.2    2.6    1.0    0.1    0.0 
NKIRAS1           15.1    5.4    1.9    0.1    0.0 
RPL15              8.9    6.7    3.6    1.2    0.1 
NR1D2             14.4    9.1    5.5    1.2    0.0 
THRB             120.1   97.4   64.8   32.5    3.2 
RARB              32.5   41.8   51.4   58.8   45.0 
TOP2B             10.8    7.1    3.7    1.1    0.1 
NGLY1             15.4   20.7   24.7   23.4   17.2 
OXSM              51.0   51.6   39.4   19.1    3.0 
LRRC3B           152.7  135.2  123.3   73.3   15.1 
NEK10             62.4   43.7   28.3    8.4    0.4 
SLC4A7            10.0    4.9    2.1    0.4    0.0 
EOMES             12.8   12.4   10.3    5.8    1.2 
CMC1              57.2   70.3   75.1   65.9   32.5 
AZI2             122.7  167.9  224.9  306.6  366.9 
ZCWPW2            31.9   33.1   33.6   27.0   10.4 
RP11-9J18.1       20.8   17.6   12.6    5.3    0.6 
RBMS3             64.6   69.3   69.4   58.9   24.1 
TGFBR2            11.7   14.5   16.7   14.6    9.1 
GADL1             48.7   10.6    1.7    0.0    0.0 
STT3B            149.0   73.8   32.0    4.8    0.1 
OSBPL10          299.0  142.2   60.4   10.0    0.1 
ZNF860             5.5    3.3    1.8    0.5    0.0 
GPD1L            217.0  301.1  292.3  355.5  279.8 
CMTM8             42.5   40.6   29.6   14.4    2.2 
CMTM7             32.1   15.4    6.0    1.0    0.0 
CMTM6             25.5   30.5   38.3   54.7   52.3 
DYNC1LI1          12.9   17.2   23.3   26.5   23.6 
CNOT10            27.9   43.9   58.1   84.0  100.0 
TRIM71             5.1    3.2    1.5    0.4    0.0 
CCR4              34.4    7.1    1.3    0.0    0.0 
GLB1              62.5   50.0   38.5   14.0    1.3 
TMPPE             51.2   49.4   32.5   17.2    3.3 
CRTAP             22.2   13.6    6.9    1.7    0.0 
SUSD5              5.6    0.3    0.0    0.0    0.0 
FBXL2            124.8  127.9  132.5   83.6   22.5 
UBP1             142.3   85.7   53.0   14.9    0.6 
CLASP2           159.2   85.1   43.3    7.4    0.1 
PDCD6IP           17.7   21.6   27.6   27.6   19.0 
ARPP21            26.9   35.7   45.0   39.4   25.6 
STAC             165.7  192.0  217.0  185.2  104.0 
DCLK3             47.7   30.1   19.0    4.5    0.2 
TRANK1            17.1   16.0   11.9    5.5    0.6 
EPM2AIP1          42.4   50.8   56.8   56.2   39.7 
MLH1             104.5   20.7    3.6    0.1    0.0 
LRRFIP2           13.2    8.8    5.8    1.6    0.1 
GOLGA4             5.8    3.8    2.3    0.7    0.0 
ITGA9             18.9    4.4    1.0    0.0    0.0 
CTDSPL            10.2    0.7    0.0    0.0    0.0 
VILL              38.0   28.1   17.0    5.5    0.3 
PLCD1             54.0   41.8   30.4   14.0    1.6 
DLEC1             11.0    7.4    4.7    1.4    0.1 
ACAA1             10.3    6.8    4.6    1.4    0.1 
MYD88              5.0    4.3    3.3    1.8    0.3 
OXSR1              5.6    2.9    1.3    0.2    0.0 
SLC22A13          11.0   11.8   11.3   10.0    3.7 
SLC22A14         108.5   95.6   62.4   27.5    2.7 
XYLB             196.2  277.9  319.6  403.6  386.3 
ACVR2B            17.8   20.9   18.0   14.6    6.1 
EXOG             131.1  189.8  257.2  381.7  547.2 
SCN5A             36.4   35.4   32.0   18.4    4.2 
SCN10A            15.7   20.9   24.3   29.8   19.6 
SCN11A            32.9   42.3   52.0   59.2   46.0 
WDR48             15.8   10.1    5.8    1.4    0.1 
GORASP1           36.9   22.8   13.9    3.8    0.1 
TTC21A            10.1    5.2    2.5    0.4    0.0 
CSRNP1            10.2    8.3    5.7    2.2    0.2 
XIRP1             69.5   54.2   34.2   14.9    1.4 
CX3CR1            15.3   12.6    9.2    4.0    0.4 
CCR8              19.7   15.6    8.8    3.2    0.2 
SLC25A38          37.6    9.0    1.9    0.1    0.0 
RPSA              14.8    5.7    2.1    0.2    0.0 
MOBP               4.5    0.6    0.1    0.0    0.0 
MYRIP             45.2   44.7   42.0   26.4    6.8 
EIF1B             20.9   21.9   19.5   13.1    3.9 
ENTPD3            14.6    9.5    6.0    1.9    0.1 
RPL14             19.1   13.1    8.1    2.3    0.1 
ZNF619            25.1   11.3    5.0    0.7    0.0 
ZNF620            51.9   35.6   21.6    6.2    0.4 
ZNF621             7.5    3.2    1.1    0.1    0.0 
CTNNB1            23.2   17.7   12.5    4.9    0.4 
ULK4             132.2  145.1  168.3  128.6   63.7 
TRAK1             28.5   36.0   50.7   54.2   55.7 
CCK               42.1   51.7   65.3   72.0   61.9 
LYZL4             48.7   21.4    9.1    1.2    0.0 
VIPR1             45.6   21.1    8.3    1.1    0.0 
SEC22C             3.2    2.3    1.5    0.5    0.0 
SS18L2            28.9   17.0   11.5    3.2    0.2 
NKTR              58.2   80.1   90.3  103.0   74.9 
ZBTB47            95.0  109.2  100.2   80.1   27.0 
KLHL40            26.7   32.3   30.8   23.2    8.6 
CCDC13             8.1    6.6    4.9    2.1    0.2 
HHATL            103.5   48.8   17.3    1.8    0.0 
RP4-613B23.5      32.2   42.4   57.7   73.2   69.0 
HIGD1A            23.6   20.1   12.6    5.3    0.5 
ACKR2              8.9   10.4   12.6   13.2    9.1 
RP11-136C24.3      9.5    9.1    8.0    5.9    1.3 
KRBOX1           101.8   76.7   50.1   22.2    2.4 
CYP8B1             4.9    2.1    0.9    0.1    0.0 
ZNF662             5.5    2.3    0.8    0.1    0.0 
FAM198A           10.3    1.4    0.2    0.0    0.0 
POMGNT2           28.9   26.7   21.6    9.8    1.5 
SNRK              47.8   37.7   29.9   11.6    1.2 
ANO10             19.7   22.1   18.7   13.5    3.9 
ABHD5             97.8  143.0  189.1  279.7  408.7 
TOPAZ1             5.9    3.4    1.8    0.5    0.0 
TCAIM             13.7   12.8   10.1    5.3    1.0 
LINC00694         27.0   22.8   18.8    8.7    1.1 
ZNF445            22.7   19.7   14.7    6.6    0.8 
ZNF852            29.0    5.1    0.8    0.0    0.0 
ZKSCAN7            6.9    1.3    0.2    0.0    0.0 
ZNF660            24.0   23.5   14.8    7.5    1.0 
ZNF197            19.8   18.1   13.2    7.0    1.2 
ZNF35             25.9   18.9   16.7    8.1    1.1 
ZNF502            62.6   64.3   59.5   43.3   12.3 
ZNF501            34.1   40.4   41.4   34.2   18.0 
KIAA1143          49.0   63.6   94.0  137.5  216.3 
KIF15             10.9    9.4    7.0    3.1    0.4 
TMEM42           185.1  157.0   99.2   35.0    3.3 
TGM4             136.9  188.2  223.3  266.1  250.0 
ZDHHC3            29.6   12.3    4.9    0.5    0.0 
EXOSC7            11.6   15.0   18.8   23.4   19.5 
CLEC3B            69.9   58.1   43.7   23.7    3.0 
CDCP1             26.7   29.8   24.8   17.8    5.1 
TMEM158           32.1   42.3   58.3   75.8   64.5 
LARS2              1.7    0.6    0.2    0.0    0.0 
LIMD1             17.6   18.9   18.3   14.3    6.0 
SACM1L            10.0    5.7    2.9    0.6    0.0 
SLC6A20            8.9    6.1    4.3    1.8    0.2 
LZTFL1            88.5  106.1  141.1  121.8   82.3 
CCR9              12.7   10.8    9.4    5.0    0.8 
FYCO1             93.2  101.9   98.4   90.2   35.7 
CXCR6             81.7   23.2    7.5    0.5    0.0 
XCR1               6.3    3.0    1.4    0.2    0.0 
CCR3              16.3   14.2   12.5    6.4    1.5 
CCR1              33.0   22.6   16.5    6.0    0.4 
CCR2              43.2   23.5   10.9    2.3    0.1 
CCR5              36.5   55.5   72.5  102.5  108.4 
CCRL2             75.4   61.4   49.9   20.9    3.0 
LTF               91.9   91.8   97.3   74.2   25.3 
RTP3              28.7   31.6   30.3   21.7    9.1 
LRRC2             29.7   23.1   14.7    5.2    0.5 
TDGF1             15.9    3.7    0.8    0.0    0.0 
AC104304.4        59.0   63.9   64.6   50.1   19.9 
ALS2CL            34.3   41.1   38.4   31.6   11.3 
TMIE              16.7   10.8    7.5    2.4    0.2 
PRSS50           124.7   94.4   69.3   25.2    2.3 
PRSS46             7.7    7.2    6.0    3.3    0.6 
PRSS45            12.6    9.1    6.7    2.8    0.3 
PRSS42            22.0   26.3   26.7   20.5    7.6 
MYL3              16.5   16.7   16.1   12.2    4.0 
PTH1R             24.4    8.3    2.2    0.2    0.0 
CCDC12            32.1   27.2   18.3    7.5    0.7 
NBEAL2            39.2   34.8   26.8   12.0    1.9 
SETD2             11.0    5.1    2.7    0.5    0.0 
KIF9              21.6   23.4   20.5   15.1    5.2 
KLHL18            33.2   35.6   32.9   23.6    6.3 
PTPN23           387.4  596.4  762.8 1208.1 1744.8 
SCAP             295.0  489.4  598.4  938.6 1181.8 
ELP6              39.2   32.0   25.2   11.0    1.3 
CSPG5             10.9   11.2   10.2    6.9    2.2 
SMARCC1           98.7   86.4   75.3   35.9    7.3 
DHX30             57.0   73.1   92.1  111.6   87.0 
MAP4              24.4   26.2   23.5   16.0    4.0 
CDC25A            10.0    6.4    3.4    0.8    0.0 
CAMP               6.2    4.0    2.3    0.7    0.0 
ZNF589            14.9    8.6    4.7    1.0    0.0 
NME6              52.9   70.8   72.2   79.9   46.8 
SPINK8           112.8  124.2  135.9  115.7   51.7 
FBXW12             7.6    5.5    3.5    1.3    0.1 
PLXNB1           107.2   89.2   63.0   25.1    2.5 
CCDC51            13.7   11.6    7.9    2.5    0.2 
TMA7             400.6  578.0  631.6  715.2  575.9 
ATRIP            155.3  209.0  313.7  415.5  446.3 
TREX1            118.9  125.9  129.9  107.8   47.5 
SHISA5            51.5   52.8   43.4   26.6    5.7 
PFKFB4           143.6   85.7   37.4    7.3    0.2 
UCN2              56.1   26.5   13.0    1.9    0.0 
COL7A1            35.8   28.4   21.1    8.2    0.7 
UQCRC1            18.6   15.7   12.1    6.1    0.8 
TMEM89            10.0    2.6    0.7    0.0    0.0 
SLC26A6           11.3    9.9    6.9    2.8    0.3 
CELSR3            31.0   32.3   29.7   21.8    8.6 
NCKIPSD          267.0  293.2  264.5  194.1   72.1 
IP6K2              5.6    2.7    1.3    0.2    0.0 
PRKAR2A           64.3   27.7   12.1    1.9    0.0 
SLC25A20          25.1   15.5   11.4    3.4    0.2 
ARIH2OS           52.5   64.3   74.5   64.8   30.6 
ARIH2              6.0    3.1    1.4    0.2    0.0 
P4HTM             26.2   21.0   14.9    5.5    0.5 
WDR6              31.6   18.5   10.4    2.7    0.1 
DALRD3            50.2   58.4   60.7   51.9   26.4 
NDUFAF3           18.5   10.1    5.2    1.2    0.0 
IMPDH2            29.2   33.6   37.0   32.7   17.3 
QRICH1            20.3   10.1    3.7    0.6    0.0 
QARS              56.0   40.0   31.1   10.9    0.9 
USP19            103.3   49.0   25.5    4.2    0.1 
LAMB2             12.0   10.3    6.5    2.2    0.2 
CCDC71            35.5   45.1   49.0   43.8   28.1 
KLHDC8B          399.1  414.9  344.3  241.8   51.1 
C3orf84            6.7    4.3    2.5    0.6    0.0 
CCDC36            19.4    4.5    0.8    0.0    0.0 
C3orf62           57.1   52.7   44.1   23.4    4.1 
USP4              28.7   32.3   33.7   28.5   10.1 
GPX1              77.6   26.8    9.0    0.7    0.0 
RHOA              17.5    5.7    1.8    0.2    0.0 
TCTA              33.4   29.6   19.8    8.3    0.8 
AMT               19.9   12.8    6.8    1.9    0.1 
RP11-949J7.8     231.1  272.3  282.4  264.4  121.0 
NICN1              5.6    6.5    5.8    5.0    1.6 
DAG1              37.6   18.4    9.3    1.8    0.0 
BSN                3.5    2.7    2.0    0.7    0.1 
APEH              30.2   19.8    9.0    2.0    0.1 
MST1              15.0    8.0    4.3    0.8    0.0 
RNF123            97.8  120.6  113.8   84.7   35.1 
AMIGO3            10.6    5.4    3.1    0.6    0.0 
GMPPB              6.6   10.0   11.3   14.5   11.0 
IP6K1              1.9    1.1    0.4    0.1    0.0 
CDHR4             13.6   14.0   11.3    7.7    1.7 
FAM212A           20.0   29.5   42.0   56.0   63.3 
UBA7              15.9   16.3   13.9    9.8    2.3 
TRAIP             23.3   26.8   25.5   18.2    6.0 
CAMKV            158.1  202.9  209.0  177.6   88.2 
MST1R             15.0   12.0    8.4    3.7    0.4 
MON1A              6.9    2.5    0.8    0.1    0.0 
RBM6              15.4   12.1    9.6    4.0    0.5 
RBM5               8.5    7.8    7.6    4.6    1.4 
SEMA3F            21.7   16.1    9.6    3.0    0.2 
GNAT1            112.6  109.7  106.0   58.7   13.1 
SLC38A3           23.6   27.5   27.4   22.1    9.0 
GNAI2             12.9   15.0   17.4   15.3    9.5 
SEMA3B            63.3   36.3   20.0    4.6    0.2 
LSMEM2            47.0   32.1   16.5    3.9    0.2 
IFRD2             32.7   18.7    8.7    1.8    0.0 
HYAL3              3.4    0.6    0.1    0.0    0.0 
NAT6               7.2   10.8   14.9   20.6   26.3 
HYAL1             36.0   25.2   18.3    5.6    0.4 
HYAL2             77.4   82.6   76.4   65.2   24.8 
TUSC2            299.2  333.0  433.1  492.9  481.3 
RASSF1           132.4  122.5  119.8   87.7   22.5 
ZMYND10           39.4   22.2   11.5    2.9    0.1 
NPRL2             21.4   16.1   10.8    2.8    0.2 
CYB561D2          25.2   16.1    8.2    2.2    0.1 
XXcos-LUCA11.5     6.9    2.3    0.7    0.0    0.0 
TMEM115            3.9    2.7    1.6    0.4    0.0 
CACNA2D2          18.6   21.5   17.9   10.9    2.9 
C3orf18           10.4    4.4    1.9    0.2    0.0 
HEMK1             53.9   71.3   77.3   95.2   71.2 
CISH             142.6   72.1   32.7    4.8    0.1 
MAPKAPK3          20.7   10.5    4.7    0.6    0.0 
DOCK3             10.6   11.3    9.7    6.7    1.8 
MANF               6.2    6.4    6.5    4.5    1.3 
RBM15B            21.5   16.5   11.4    3.2    0.3 
DCAF1             17.4   20.2   19.9   16.9    7.6 
RAD54L2           49.0   67.8   93.2  121.7  158.3 
TEX264            67.8   70.7   58.6   33.6    8.4 
GRM2              17.7   18.3   20.4   18.1    8.0 
IQCF6             39.3   42.4   34.3   21.2    3.6 
IQCF3             16.1   20.0   25.7   26.8   20.5 
IQCF2             18.9   19.2   22.3   16.7    6.5 
IQCF5              6.8    5.3    4.3    1.8    0.3 
IQCF1             35.0   28.1   25.1   11.8    1.8 
RRP9              46.2   33.1   24.7    8.3    0.8 
PARP3             12.3   21.5   31.5   48.1   71.1 
GPR62             17.7    5.5    1.8    0.1    0.0 
PCBP4              5.2    1.4    0.3    0.0    0.0 
ABHD14B            2.6    0.7    0.2    0.0    0.0 
ABHD14A           55.4   46.5   32.7   15.4    1.7 
ABHD14A-ACY1      11.4   13.8   17.0   20.1   14.5 
ACY1              46.8   41.0   32.4   13.1    1.4 
RPL29             10.7    8.9    6.1    2.6    0.2 
DUSP7             17.6   16.4   17.1   11.2    4.3 
POC1A             29.0   36.1   43.7   49.8   34.3 
ALAS1             59.5   65.9   59.4   47.5   15.9 
TLR9              36.9   21.2   11.7    3.1    0.1 
RP11-330H6.5      38.6   23.9   15.6    4.3    0.2 
TWF2              28.1   38.7   41.1   41.9   31.0 
PPM1M             19.9   22.4   21.1   14.0    4.7 
WDR82             15.4    9.1    6.7    2.1    0.1 
GLYCTK            42.5   33.4   29.8   15.7    2.6 
DNAH1            107.9  112.8  101.6   68.1   21.8 
BAP1               9.1    6.5    3.9    1.4    0.1 
PHF7              26.4   29.9   30.1   22.6   11.1 
SEMA3G           233.4  111.7   53.5    8.2    0.1 
TNNC1              7.7    4.4    2.0    0.4    0.0 
NISCH              7.9    5.6    3.7    1.2    0.1 
STAB1             25.6   16.9    8.7    2.2    0.1 
NT5DC2             5.9    3.6    1.8    0.4    0.0 
SMIM4             36.2   37.7   33.6   21.6    4.9 
PBRM1              9.8    9.3    7.6    4.0    0.8 
GNL3              30.9   17.4    8.6    1.8    0.0 
GLT8D1             4.0    3.3    2.0    0.7    0.1 
SPCS1            643.0  682.9  771.9  571.1  262.8 
NEK4              32.1   35.1   43.1   40.0   27.1 
ITIH1              3.1    1.9    0.8    0.2    0.0 
ITIH3             93.1   62.6   34.4    9.0    0.4 
ITIH4             40.2   51.5   50.0   42.2   17.4 
RP5-966M1.6       38.2   32.4   21.2   10.1    0.9 
MUSTN1             7.0    5.1    2.8    0.7    0.0 
TMEM110-MUSTN1    10.9    5.9    2.7    0.6    0.0 
TMEM110            8.6    8.9    8.7    7.9    3.2 
SFMBT1           106.9   72.2   49.4   15.3    0.9 
RP11-894J14.5     35.1    6.4    1.0    0.0    0.0 
RFT1              16.9   18.0   16.8   10.5    2.8 
PRKCD             39.1   19.9    9.2    1.6    0.0 
TKT               12.1    2.6    0.5    0.0    0.0 
DCP1A             86.4   57.1   29.4    9.4    0.5 
CACNA1D          216.8  196.0  188.5  116.0   25.7 
CHDH              96.6  113.4  108.4   90.9   32.9 
IL17RB            14.1   14.8   13.8   10.4    3.6 
ACTR8             77.8   11.3    1.5    0.0    0.0 
SELK              34.1   14.5    5.0    0.5    0.0 
CACNA2D3          25.1   14.2    7.3    1.3    0.0 
LRTM1            119.2  130.6  114.1   84.5   22.6 
WNT5A             14.4   16.0   13.2    9.5    2.4 
ERC2               0.7    0.5    0.3    0.1    0.0 
CCDC66            60.4   66.3   56.7   45.9   15.1 
FAM208A          122.5  213.6  270.0  394.8  533.0 
ARHGEF3           26.2   14.8    8.6    2.0    0.1 
SPATA12           29.5   24.8   18.3    8.8    1.0 
IL17RD            19.0   18.4   15.2    7.6    1.5 
HESX1             13.7    9.2    5.8    1.4    0.1 
APPL1            105.1   90.0   73.8   43.4    8.4 
ASB14             28.7   26.9   20.0    9.5    1.3 
DNAH12            50.3   48.3   48.9   37.8   14.0 
PDE12            141.1   81.8   42.5    8.4    0.2 
ARF4             346.4  363.3  404.2  376.8  160.2 
